name,scn_name,bus0,bus1,carrier,p_nom,p_nom_max,capital_cost,length,efficiency,p_nom_min,p_min_pu,p_max_pu,marginal_cost,p_nom_opt,country,lifetime,committable,p_nom_mod,stand_by_cost,start_up_cost,shut_down_cost,ramp_limit_up,ramp_limit_start_up,ramp_limit_shut_down
107,eGon2035_lowflex,48649,48652,CH4,11479.1666666667,inf,0.0,1510.5442323632253,1.0,0.0,-1.0,1.0,0.0,11479.1666666667,PLRU,inf,False,,,0.0,,,1.0,1.0
108,eGon2035_lowflex,48649,52087,CH4,2033.3333333333342,inf,0.0,639.3625790162292,1.0,0.0,-1.0,1.0,0.0,2033.3333333333342,PL,inf,False,,,0.0,,,1.0,1.0
109,eGon2035_lowflex,48650,10,OCGT,899.4976225476191,inf,0.0,0.0,0.42,0.0,0.2,1.0,10.714285714285715,899.4976225476191,SESE,inf,True,,,9.6,0.0,1.0,0.2,0.2
110,eGon2035_lowflex,48652,52087,CH4,193718.083333333,inf,0.0,2125.1005904464478,1.0,0.0,-1.0,1.0,0.0,193718.083333333,RU,inf,False,,,0.0,,,1.0,1.0
111,eGon2035_lowflex,11,52043,rural_heat_pump,1848.4358526866345,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1848.4358526866345,DE,inf,False,,,0.0,,,1.0,1.0
112,eGon2035_lowflex,11,52101,power_to_H2,1478.3517738189419,inf,461.2241533423849,0.0,0.7,0.0,0.0,1.0,0.0,1478.3517738189419,DE,31.0,False,,,0.0,,,1.0,1.0
113,eGon2035_lowflex,11,52115,central_heat_pump,226.34403409935868,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,226.34403409935868,DE,inf,False,,,0.0,,,1.0,1.0
114,eGon2035_lowflex,11,52115,central_resistive_heater,270.6401378138724,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,270.6401378138724,DE,inf,False,,,0.0,,,1.0,1.0
115,eGon2035_lowflex,52087,12,OCGT,1439.2857142857144,inf,0.0,0.0,0.42,0.0,0.2,1.0,10.714285714285715,1439.2857142857144,DE,inf,True,,,9.6,0.0,1.0,0.2,0.2
116,eGon2035_lowflex,52087,12,central_gas_CHP,1392.296608813135,inf,0.0,0.0,0.43,0.0,0.0,1.0,4.129292671614101,1392.296608813135,DE,inf,False,,,0.0,,,1.0,1.0
117,eGon2035_lowflex,52087,12,industrial_gas_CHP,787.5420366716256,inf,0.0,0.0,0.43,0.0,0.0,1.0,4.15,787.5420366716256,DE,inf,False,,,0.0,,,1.0,1.0
