line_key,s_nom_extendable,s_nom,p,loading_old,s_nom_opt,loading_new,dif
9936,True,26.0,32.4163539449,124.68,32.4163539449,100.0,6.4163539449
9937,True,26.0,32.1941471439,123.82,32.1941471439,100.0,6.1941471439
9938,True,26.0,32.4163539449,124.68,32.4163539449,100.0,6.4163539449
12293,True,26.0,18.8016591874,72.31,26.0,61.53,0.0
12294,True,26.0,1.34535122076,5.17,26.0,5.17,0.0
12346,True,26.0,65.0165199678,250.06,65.0165199678,100.0,39.0165199678
12350,True,26.0,31.2,120.0,26.0,100.0,0.0
12351,True,26.0,31.2,120.0,26.0,100.0,0.0
12352,True,26.0,31.2,120.0,28.7820845991,100.0,2.7820845991
12361,True,26.0,31.1928843039,119.97,26.0,100.0,0.0
12366,True,26.0,31.1857686077,119.95,26.0,99.98,0.0
12368,True,26.0,28.5334077483,109.74,26.0,100.0,0.0
12867,True,179.0,0.0,0.0,179.0,0.0,0.0
12870,True,179.0,0.0,0.0,179.0,0.0,0.0
12873,True,179.0,0.0,0.0,179.0,0.0,0.0
12874,True,179.0,0.0,0.0,179.0,0.0,0.0
12875,True,179.0,0.0,0.0,179.0,0.0,0.0
12876,True,179.0,0.0,0.0,179.0,0.0,0.0
12954,True,26.0,16.1280987358,62.03,26.0,62.03,0.0
12989,True,26.0,31.2,120.0,26.0,100.0,0.0
12990,True,26.0,15.8220588623,60.85,26.0,60.85,0.0
12999,False,26.0,17.2457661299,66.33,26.0,66.33,0.0
13062,True,28.0,26.9963572072,96.42,28.0,84.15,-3.5527136788e-15
13063,False,28.0,12.9962539444,46.42,28.0,46.42,0.0
13282,True,52.0,22.5814841643,43.43,52.0,43.43,0.0
13316,True,26.0,45.3146035233,174.29,45.3146035233,100.0,19.3146035233
13317,True,26.0,47.3855791533,182.25,47.3855791533,100.0,21.3855791533
13318,True,52.0,15.8285335078,30.44,52.0,30.44,0.0
13319,True,52.0,23.7428002617,45.66,52.0,45.66,0.0
13336,True,26.0,49.9168659184,191.99,49.9168659184,100.0,23.9168659184
13589,True,26.0,31.2,120.0,26.0,100.0,0.0
13328,True,26.0,46.6558331561,179.45,46.6558331561,100.0,20.6558331561
13349,True,26.0,20.8911492662,80.35,26.0,80.35,0.0
13371,True,52.0,6.58662626523,12.67,52.0,12.67,0.0
13381,False,26.0,17.2479654526,66.34,26.0,66.34,0.0
13405,False,26.0,14.2152621657,54.67,26.0,35.2,0.0
13406,True,26.0,31.2,120.0,26.0,100.0,0.0
13411,True,26.0,31.2,120.0,26.0,100.0,0.0
13480,False,26.0,14.2152621657,54.67,26.0,35.2,0.0
13795,True,52.0,32.7089640654,62.9,52.0,62.9,0.0
13616,False,26.0,4.29422755782,16.52,26.0,16.01,0.0
13497,True,26.0,31.2,120.0,26.0,100.0,0.0
13498,False,26.0,2.70724329543,10.41,26.0,10.36,0.0
13499,False,26.0,8.52835608499,32.8,26.0,32.8,0.0
13500,True,26.0,31.2,120.0,26.0,100.0,0.0
13501,True,26.0,29.3885424414,113.03,26.0,100.0,0.0
13502,True,26.0,29.9123842164,115.05,26.0,100.0,0.0
13517,True,26.0,31.2,120.0,26.0,100.0,0.0
13518,True,26.0,31.0900032322,119.58,26.0,100.0,0.0
13519,True,26.0,31.2,120.0,26.0919882813,100.0,0.0919882813
13520,True,26.0,25.2509729249,97.12,26.0,97.12,0.0
13521,True,26.0,25.2509729249,97.12,26.0,97.12,0.0
13588,True,26.0,0.0,0.0,26.0,0.0,0.0
13590,True,26.0,31.2,120.0,26.0,100.0,0.0
13591,True,26.0,31.2,120.0,26.0,100.0,0.0
13592,True,26.0,26.0,100.0,26.0,100.0,0.0
13593,True,26.0,24.6423240479,94.78,26.0,94.78,0.0
13597,True,52.0,4.45946455967,8.58,52.0,7.16,0.0
13598,True,52.0,4.49444720112,8.64,52.0,7.22,0.0
13599,True,52.0,4.45701217927,8.57,52.0,7.16,0.0
13600,True,52.0,4.45701217927,8.57,52.0,7.16,0.0
13601,True,52.0,4.45701217927,8.57,52.0,7.16,0.0
13602,True,52.0,4.45701217927,8.57,52.0,7.16,0.0
13604,True,26.0,30.2456888681,116.33,26.0,81.23,0.0
13605,False,26.0,12.4384540778,47.84,26.0,47.84,0.0
13617,False,26.0,13.0924890414,50.36,26.0,50.36,0.0
13720,True,26.0,31.2,120.0,26.0,100.0,0.0
13721,True,26.0,26.0,100.0,26.0,100.0,0.0
13722,True,26.0,26.0,100.0,26.0,100.0,0.0
13723,True,26.0,26.0,100.0,26.0,100.0,0.0
13724,False,26.0,12.6432255797,48.63,26.0,48.08,0.0
13725,True,26.0,16.8641778997,64.86,26.0,64.86,0.0
13726,True,26.0,16.8641778997,64.86,26.0,64.86,0.0
13761,True,26.0,31.2,120.0,26.0,100.0,0.0
13778,False,26.0,4.80678833176,18.49,26.0,17.92,0.0
13779,False,26.0,4.29422755782,16.52,26.0,16.01,0.0
13789,False,26.0,8.52835608499,32.8,26.0,32.8,0.0
13790,True,52.0,32.7007105855,62.89,52.0,62.89,0.0
13791,True,52.0,32.7089640654,62.9,52.0,62.9,0.0
13793,True,52.0,32.7089640654,62.9,52.0,62.9,0.0
13794,True,52.0,32.9397423577,63.35,52.0,63.35,0.0
13851,True,26.0,24.2546306443,93.29,26.0,93.29,0.0
13864,True,26.0,9.05027768694,34.81,26.0,34.81,0.0
13852,True,26.0,24.0873739385,92.64,26.0,92.64,0.0
13853,True,26.0,5.02986082838,19.35,26.0,19.35,0.0
13854,True,28.0,5.02986082838,17.96,28.0,17.96,-3.5527136788e-15
13855,False,26.0,26.0,100.0,26.0,100.0,0.0
13857,True,26.0,47.0104551816,180.81,47.0104551816,100.0,21.0104551816
13858,True,26.0,47.0104551816,180.81,47.0104551816,100.0,21.0104551816
13859,True,26.0,6.76323767064,26.01,26.0,26.01,0.0
13863,True,26.0,25.4713118697,97.97,26.0,97.97,0.0
13865,True,26.0,27.1389350273,104.38,26.0,87.55,0.0
13870,True,26.0,3.33025361975,12.81,26.0,12.81,0.0
13871,True,26.0,3.37624128725,12.99,26.0,12.99,0.0
13872,True,26.0,3.55218454525,13.66,26.0,13.66,0.0
13880,True,26.0,34.0420874662,130.93,34.0420874662,100.0,8.0420874662
13881,True,26.0,34.5444173063,132.86,34.5444173063,100.0,8.5444173063
13882,False,26.0,2.60203494736,10.01,26.0,4.24,0.0
13883,False,26.0,2.60203494736,10.01,26.0,4.24,0.0
13884,True,26.0,31.2,120.0,26.0,100.0,0.0
13885,True,26.0,31.2,120.0,26.0,100.0,0.0
13886,True,26.0,30.3649778933,116.79,26.0,100.0,0.0
13887,True,26.0,24.9426237394,95.93,26.0,95.93,0.0
13888,True,26.0,29.982350934,115.32,26.0,100.0,0.0
13889,True,26.0,25.4713118697,97.97,26.0,97.97,0.0
13891,True,26.0,25.4442907433,97.86,26.0,97.86,0.0
13892,True,26.0,51.6537210759,198.67,51.6537210759,100.0,25.6537210759
13893,True,26.0,43.0640414771,165.63,43.0640414771,100.0,17.0640414771
13894,True,26.0,9.43579401183,36.29,26.0,36.29,0.0
13908,False,26.0,11.6583711355,44.84,26.0,44.21,0.0
13923,True,26.0,24.9426237394,95.93,26.0,95.93,0.0
13924,True,26.0,25.498332997,98.07,26.0,98.07,0.0
13925,True,26.0,25.4609770878,97.93,26.0,97.93,0.0
13926,True,26.0,24.3774863495,93.76,26.0,93.76,0.0
24407,True,28.0,33.6,120.0,28.0,99.91,-3.5527136788e-15
13970,True,26.0,2.25268278597,8.66,26.0,8.66,0.0
13971,True,26.0,25.4787552814,98.0,26.0,77.31,0.0
13972,True,26.0,26.8950436116,103.44,26.0,78.14,0.0
13973,True,26.0,3.94561781788,15.18,26.0,15.18,0.0
