name,scn_name,bus0,bus1,carrier,p_nom,p_nom_extendable,p_nom_max,capital_cost,length,efficiency,p_nom_min,p_min_pu,p_max_pu,marginal_cost,p_nom_opt,country,lifetime,committable,p_nom_mod,marginal_cost_quadratic,stand_by_cost,shut_down_cost,ramp_limit_up,ramp_limit_start_up,ramp_limit_shut_down
95,eGon2035_lowflex,48644,48648,CH4,24583.3333333333,False,inf,0.0,1614.2552457929926,1.0,0.0,-1.0,1.0,0.0,24583.3333333333,FRNO,inf,False,,,,,,1.0,1.0
96,eGon2035_lowflex,48644,52087,CH4,51666.6666666667,False,inf,0.0,657.7873182720435,1.0,0.0,-1.0,1.0,0.0,51666.6666666667,FR,inf,False,,,,,,1.0,1.0
97,eGon2035_lowflex,48645,6,OCGT,3602.3809526190475,False,inf,0.0,0.0,0.42,0.0,0.2,1.0,10.714285714285715,3602.3809526190475,GBGB,inf,True,,,,0.0,1.0,0.2,0.2
98,eGon2035_lowflex,48645,6,OCGT,88505.00009047618,False,inf,0.0,0.0,0.42,0.0,0.2,1.0,10.714285714285715,88505.00009047618,GBGB,inf,True,,,,0.0,1.0,0.2,0.2
99,eGon2035_lowflex,48645,48647,CH4,20583.3333333333,False,inf,0.0,810.1198420750754,1.0,0.0,-1.0,1.0,0.0,20583.3333333333,GBNL,inf,False,,,,,,1.0,1.0
100,eGon2035_lowflex,48645,48648,CH4,62462.5,False,inf,0.0,1113.888061977508,1.0,0.0,-1.0,1.0,0.0,62462.5,GBNO,inf,False,,,,,,1.0,1.0
101,eGon2035_lowflex,48646,52087,CH4,1600.0,False,inf,0.0,289.3039459177026,1.0,0.0,-1.0,1.0,0.0,1600.0,LU,inf,False,,,,,,1.0,1.0
102,eGon2035_lowflex,48647,7,OCGT,22131.666662738095,False,inf,0.0,0.0,0.42,0.0,0.2,1.0,10.714285714285715,22131.666662738095,NLNL,inf,True,,,,0.0,1.0,0.2,0.2
103,eGon2035_lowflex,48647,48648,CH4,40152.4166666667,False,inf,0.0,974.5374824832013,1.0,0.0,-1.0,1.0,0.0,40152.4166666667,NLNO,inf,False,,,,,,1.0,1.0
104,eGon2035_lowflex,48647,52087,CH4,50716.45862500005,False,inf,0.0,342.95845999724355,1.0,0.0,-1.0,1.0,0.0,50716.45862500005,NL,inf,False,,,,,,1.0,1.0
105,eGon2035_lowflex,48648,52087,CH4,51958.333333333205,False,inf,0.0,1135.6240739081334,1.0,0.0,-1.0,1.0,0.0,51958.333333333205,NO,inf,False,,,,,,1.0,1.0
106,eGon2035_lowflex,48649,9,OCGT,17859.523810238094,False,inf,0.0,0.0,0.42,0.0,0.2,1.0,10.714285714285715,17859.523810238094,PLPL,inf,True,,,,0.0,1.0,0.2,0.2
107,eGon2035_lowflex,48649,48652,CH4,11479.1666666667,False,inf,0.0,1510.5442323632253,1.0,0.0,-1.0,1.0,0.0,11479.1666666667,PLRU,inf,False,,,,,,1.0,1.0
108,eGon2035_lowflex,48649,52087,CH4,2033.3333333333342,False,inf,0.0,639.3625790162292,1.0,0.0,-1.0,1.0,0.0,2033.3333333333342,PL,inf,False,,,,,,1.0,1.0
109,eGon2035_lowflex,48650,10,OCGT,899.4976225476191,False,inf,0.0,0.0,0.42,0.0,0.2,1.0,10.714285714285715,899.4976225476191,SESE,inf,True,,,,0.0,1.0,0.2,0.2
110,eGon2035_lowflex,48652,52087,CH4,193718.083333333,False,inf,0.0,2125.1005904464478,1.0,0.0,-1.0,1.0,0.0,193718.083333333,RU,inf,False,,,,,,1.0,1.0
111,eGon2035_lowflex,13,52053,rural_heat_pump,1848.4358526866345,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1848.4358526866345,DE,inf,False,,,,,,1.0,1.0
