name,scn_name,bus,carrier,p_nom,p_max_pu,marginal_cost,efficiency,up_time_before,e_nom_max,control,weight,p_nom_opt
1 run_of_river,eGon2035,1,run_of_river,56.36272818028936,0.65,0.009384713347251621,1.0,0,inf,PV,56.36272818028936,56.36272818028936
1 solar,eGon2035,1,solar,3846.23856630648,1.0,0.01769028272765792,1.0,0,inf,PV,3846.23856630648,3846.23856630648
1 solar_rooftop,eGon2035,1,solar_rooftop,3569.4645116890815,1.0,0.01732252276214324,1.0,0,inf,PV,3569.4645116890815,3569.4645116890815
1 wind_onshore,eGon2035,1,wind_onshore,6335.029454400376,1.0,1.3082140947925873,1.0,0,inf,PV,6335.029454400376,6335.029454400376
10 biomass,eGon2035,10,biomass,45.05277860512044,1.0,42.10850115477126,1.0,0,inf,PV,45.05277860512044,45.05277860512044
10 central_biomass_CHP,eGon2035,10,central_biomass_CHP,64.07267864042852,0.9999999999999999,42.10723549928299,0.9999999999999999,0,inf,PV,64.07267864042852,64.07267864042852
10 industrial_biomass_CHP,eGon2035,10,industrial_biomass_CHP,570.495921362877,1.0,42.10820336426155,1.0,0,inf,PV,570.495921362877,570.495921362877
10 load shedding,,10,load shedding,64461977.40522854,1.0,10000.0077721167,1.0,1,0.0,PQ,64461977.40522854,64461977.40522854
10 others,eGon2035,10,others,10.586964350018004,1.0,0.020545393312204552,1.0,0,inf,PV,10.586964350018004,10.586964350018004
10 run_of_river,eGon2035,10,run_of_river,25.7907279972286,0.6499999999999999,0.006904600428940322,0.9999999999999999,0,inf,PV,25.7907279972286,25.7907279972286
10 solar,eGon2035,10,solar,1131.3610941235827,1.0,0.01761198409554746,1.0,0,inf,PV,1131.3610941235827,1131.3610941235827
10 solar_rooftop,eGon2035,10,solar_rooftop,5616.9331097783925,1.0,0.018917740032677002,1.0,0,inf,PV,5616.9331097783925,5616.9331097783925
10 wind_onshore,eGon2035,10,wind_onshore,6998.307388372055,0.9999999999999999,1.3084890143870713,0.9999999999999999,0,inf,PV,6998.307388372055,6998.307388372055
11 biomass,eGon2035,11,biomass,73.12092195231438,1.0000000000000002,42.10795315428407,1.0000000000000002,0,inf,PV,73.12092195231438,73.12092195231438
11 central_biomass_CHP,eGon2035,11,central_biomass_CHP,73.78672411516757,1.0,42.107673056147306,1.0,0,inf,PV,73.78672411516757,73.78672411516757
11 industrial_biomass_CHP,eGon2035,11,industrial_biomass_CHP,341.80049326582355,1.0,42.107972144778714,1.0,0,inf,PV,341.80049326582355,341.80049326582355
11 load shedding,,11,load shedding,126512975.3405765,1.0,10000.007847936715,1.0,1,0.0,PQ,126512975.3405765,126512975.3405765
11 oil,eGon2035,11,oil,24.8,1.0,101.84306105500411,1.0,0,inf,PV,24.8,24.8
11 others,eGon2035,11,others,80.09934767980931,1.0,0.007924228411647428,1.0,0,inf,PV,80.09934767980931,80.09934767980931
11 reservoir,eGon2035,11,reservoir,16.159556461823463,0.65,0.013730041649322086,1.0,0,inf,PV,16.159556461823463,16.159556461823463
11 run_of_river,eGon2035,11,run_of_river,427.5646151217227,0.65,0.008025712283474075,1.0,0,inf,PV,427.5646151217227,427.5646151217227
11 solar,eGon2035,11,solar,3470.991832496355,0.9999999999999999,0.018016021206030478,0.9999999999999999,0,inf,PV,3470.991832496355,3470.991832496355
11 solar_rooftop,eGon2035,11,solar_rooftop,12537.49768081745,1.0,0.018514068784630487,1.0,0,inf,PV,12537.49768081745,12537.49768081745
11 wind_onshore,eGon2035,11,wind_onshore,6086.852569036908,1.0,1.307959892733069,1.0,0,inf,PV,6086.852569036908,6086.852569036908
12 biomass,eGon2035,12,biomass,108.36541692103546,1.0000000000000002,42.10753993101709,1.0000000000000002,0,inf,PV,108.36541692103546,108.36541692103546
12 central_biomass_CHP,eGon2035,12,central_biomass_CHP,125.45915203377179,1.0,42.108266643693234,1.0,0,inf,PV,125.45915203377179,125.45915203377179
12 industrial_biomass_CHP,eGon2035,12,industrial_biomass_CHP,231.31440650113487,1.0,42.10773841600252,1.0,0,inf,PV,231.31440650113487,231.31440650113487
12 load shedding,,12,load shedding,176001501.30128345,0.9999999999999998,10000.007850478029,0.9999999999999998,1,0.0,PQ,176001501.30128345,176001501.30128345
12 oil,eGon2035,12,oil,65.6,1.0,101.84143624159161,1.0,0,inf,PV,65.6,65.6
12 others,eGon2035,12,others,349.97425696232153,1.0,0.005041699846446508,1.0,0,inf,PV,349.97425696232153,349.97425696232153
